# Chr_Start	Chr_End	Name	Region
30	410	nCoV-2019_1	-
320	726	nCoV-2019_2	-
642	1028	nCoV-2019_3	-
943	1337	nCoV-2019_4	-
1242	1651	nCoV-2019_5	-
1573	1964	nCoV-2019_6	-
1875	2269	nCoV-2019_7	-
2181	2592	nCoV-2019_8	-
2505	2904	nCoV-2019_9	-
2826	3210	nCoV-2019_10	-
3144	3531	nCoV-2019_11	-
3460	3853	nCoV-2019_12	-
3771	4164	nCoV-2019_13	-
4054	4450	nCoV-2019_14	-
4294	4696	nCoV-2019_15	-
4636	5017	nCoV-2019_16	-
4939	5321	nCoV-2019_17	-
5230	5644	nCoV-2019_18	-
5563	5957	nCoV-2019_19	-
5867	6272	nCoV-2019_20	-
6167	6550	nCoV-2019_21	-
6466	6873	nCoV-2019_22	-
6718	7117	nCoV-2019_23	-
7035	7415	nCoV-2019_24	-
7305	7694	nCoV-2019_25	-
7626	8019	nCoV-2019_26	-
7943	8341	nCoV-2019_27	-
8249	8661	nCoV-2019_28	-
8595	8983	nCoV-2019_29	-
8888	9271	nCoV-2019_30	-
9204	9585	nCoV-2019_31	-
9477	9858	nCoV-2019_32	-
9784	10171	nCoV-2019_33	-
10076	10459	nCoV-2019_34	-
10362	10763	nCoV-2019_35	-
10666	11074	nCoV-2019_36	-
10999	11394	nCoV-2019_37	-
11306	11693	nCoV-2019_38	-
11555	11949	nCoV-2019_39	-
11863	12256	nCoV-2019_40	-
12110	12490	nCoV-2019_41	-
12417	12802	nCoV-2019_42	-
12710	13096	nCoV-2019_43	-
13005	13400	nCoV-2019_44	-
13319	13699	nCoV-2019_45	-
13599	13984	nCoV-2019_46	-
13918	14299	nCoV-2019_47	-
14207	14601	nCoV-2019_48	-
14545	14926	nCoV-2019_49	-
14865	15246	nCoV-2019_50	-
15171	15560	nCoV-2019_51	-
15481	15886	nCoV-2019_52	-
15827	16209	nCoV-2019_53	-
16118	16510	nCoV-2019_54	-
16416	16833	nCoV-2019_55	-
16748	17152	nCoV-2019_56	-
17065	17452	nCoV-2019_57	-
17381	17761	nCoV-2019_58	-
17674	18062	nCoV-2019_59	-
17966	18348	nCoV-2019_60	-
18253	18672	nCoV-2019_61	-
18596	18979	nCoV-2019_62	-
18896	19297	nCoV-2019_63	-
19204	19616	nCoV-2019_64	-
19548	19939	nCoV-2019_65	-
19844	20255	nCoV-2019_66	-
20172	20572	nCoV-2019_67	-
20472	20890	nCoV-2019_68	-
20786	21169	nCoV-2019_69	-
21075	21455	nCoV-2019_70	-
21357	21743	nCoV-2019_71	-
21658	22038	nCoV-2019_72	-
21961	22346	nCoV-2019_73	-
22262	22650	nCoV-2019_74	-
22516	22903	nCoV-2019_75	-
22797	23214	nCoV-2019_76	-
23122	23522	nCoV-2019_77	-
23443	23847	nCoV-2019_78	-
23789	24169	nCoV-2019_79	-
24078	24467	nCoV-2019_80	-
24391	24789	nCoV-2019_81	-
24696	25076	nCoV-2019_82	-
24978	25369	nCoV-2019_83	-
25279	25673	nCoV-2019_84	-
25601	25994	nCoV-2019_85	-
25902	26315	nCoV-2019_86	-
26197	26590	nCoV-2019_87	-
26520	26913	nCoV-2019_88	-
26835	27227	nCoV-2019_89	-
27141	27533	nCoV-2019_90	-
27446	27854	nCoV-2019_91	-
27784	28172	nCoV-2019_92	-
28081	28464	nCoV-2019_93	-
28394	28779	nCoV-2019_94	-
28677	29063	nCoV-2019_95	-
28985	29378	nCoV-2019_96	-
29288	29693	nCoV-2019_97	-
29486	29866	nCoV-2019_98	-
