# Chr_Start	Chr_End	Name	Region
25	431	SARS-CoV-2_1	-
324	727	SARS-CoV-2_2	-
644	1044	SARS-CoV-2_3	-
944	1362	SARS-CoV-2_4	-
1245	1650	SARS-CoV-2_5	-
1540	1948	SARS-CoV-2_6	-
1851	2250	SARS-CoV-2_7	-
2154	2571	SARS-CoV-2_8	-
2483	2885	SARS-CoV-2_9	-
2780	3210	SARS-CoV-2_10	-
3078	3492	SARS-CoV-2_11	-
3390	3794	SARS-CoV-2_12	-
3683	4093	SARS-CoV-2_13	-
3992	4409	SARS-CoV-2_14	-
4312	4710	SARS-CoV-2_15	-
4620	5017	SARS-CoV-2_16	-
4923	5331	SARS-CoV-2_17	-
5230	5643	SARS-CoV-2_18	-
5561	5957	SARS-CoV-2_19	-
5867	6272	SARS-CoV-2_20	-
6184	6582	SARS-CoV-2_21	-
6478	6885	SARS-CoV-2_22	-
6747	7148	SARS-CoV-2_23	-
7057	7467	SARS-CoV-2_24	-
7381	7770	SARS-CoV-2_25	-
7672	8092	SARS-CoV-2_26	-
7997	8395	SARS-CoV-2_27	-
8304	8714	SARS-CoV-2_28	-
8596	9013	SARS-CoV-2_29	-
8919	9329	SARS-CoV-2_30	-
9168	9564	SARS-CoV-2_31	-
9470	9866	SARS-CoV-2_32	-
9782	10176	SARS-CoV-2_33	-
10076	10491	SARS-CoV-2_34	-
10393	10810	SARS-CoV-2_35	-
10713	11116	SARS-CoV-2_36	-
11000	11414	SARS-CoV-2_37	-
11305	11720	SARS-CoV-2_38	-
11624	12033	SARS-CoV-2_39	-
11937	12339	SARS-CoV-2_40	-
12234	12643	SARS-CoV-2_41	-
12519	12920	SARS-CoV-2_42	-
12831	13240	SARS-CoV-2_43	-
13124	13528	SARS-CoV-2_44	-
13463	13859	SARS-CoV-2_45	-
13752	14144	SARS-CoV-2_46	-
14045	14457	SARS-CoV-2_47	-
14338	14743	SARS-CoV-2_48	-
14647	15050	SARS-CoV-2_49	-
14953	15358	SARS-CoV-2_50	-
15214	15619	SARS-CoV-2_51	-
15535	15941	SARS-CoV-2_52	-
15855	16260	SARS-CoV-2_53	-
16112	16508	SARS-CoV-2_54	-
16386	16796	SARS-CoV-2_55	-
16692	17105	SARS-CoV-2_56	-
16986	17405	SARS-CoV-2_57	-
17323	17711	SARS-CoV-2_58	-
17615	18022	SARS-CoV-2_59	-
17911	18328	SARS-CoV-2_60	-
18244	18652	SARS-CoV-2_61	-
18550	18961	SARS-CoV-2_62	-
18869	19277	SARS-CoV-2_63	-
19183	19586	SARS-CoV-2_64	-
19485	19901	SARS-CoV-2_65	-
19810	20216	SARS-CoV-2_66	-
20090	20497	SARS-CoV-2_67	-
20377	20792	SARS-CoV-2_68	-
20677	21080	SARS-CoV-2_69	-
20988	21387	SARS-CoV-2_70	-
21294	21700	SARS-CoV-2_71	-
21532	21933	SARS-CoV-2_72	-
21865	22274	SARS-CoV-2_73	-
22091	22503	SARS-CoV-2_74	-
22402	22805	SARS-CoV-2_75	-
22648	23141	SARS-CoV-2_76_RIGH	-
22944	23351	SARS-CoV-2_77	-
23219	23635	SARS-CoV-2_78	-
23553	23955	SARS-CoV-2_79	-
23853	24258	SARS-CoV-2_80	-
24171	24567	SARS-CoV-2_81	-
24426	24836	SARS-CoV-2_82	-
24750	25150	SARS-CoV-2_83	-
25051	25461	SARS-CoV-2_84	-
25331	25740	SARS-CoV-2_85	-
25645	26050	SARS-CoV-2_86	-
25951	26360	SARS-CoV-2_87	-
26242	26661	SARS-CoV-2_88	-
26564	26991	SARS-CoV-2_89_RIGH	-
26873	27283	SARS-CoV-2_90	-
27152	27560	SARS-CoV-2_91	-
27447	27855	SARS-CoV-2_92	-
27700	28104	SARS-CoV-2_93	-
27996	28416	SARS-CoV-2_94	-
28190	28598	SARS-CoV-2_95	-
28512	28914	SARS-CoV-2_96	-
28827	29227	SARS-CoV-2_97	-
29136	29534	SARS-CoV-2_98	-
29452	29854	SARS-CoV-2_99	-
